step,run_id,timestamp,name,num_citizens="200",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="large-network-3",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
44,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.5181836001440978,0.00017260966334408282,0.02091013026271929,0.011963719965820558
45,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.518117749406834,0.00017260966334408282,0.02091013026271929,0.011963719965820558
46,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.5180531029727374,0.00017260966334408282,0.02091013026271929,0.011963719965820558
47,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.517989621664145,0.00017260966334408282,0.02091013026271929,0.011963719965820558
48,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.5179272675117358,0.00017260966334408282,0.02091013026271929,0.011963719965820558
49,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.5178660037809478,0.00017260966334408282,0.02091013026271929,0.011963719965820558
50,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.5178057949856381,0.00017260966334408282,0.02091013026271929,0.011963719965820558
51,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0135364778982225,5.154910014060809,4.887249049429898,0.5177466068911021,0.00017260966334408282,0.02091013026271929,0.011963719965820558
52,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.01367230028074,5.154910014060809,4.887249049429898,0.5176922957071406,0.000172603646184971,0.02091013026271929,0.011963719965820558
53,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.01367230028074,5.154910014060809,4.887249049429898,0.5176349906901256,0.000172603646184971,0.02091013026271929,0.011963719965820558
54,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0138025987365324,5.154910014060809,4.887249049429898,0.5174837807398701,0.00017241924678634488,0.02091013026271929,0.011963719965820558
55,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0138025987365324,5.154910014060809,4.887249049429898,0.5174379427952495,0.00017241924678634488,0.02091013026271929,0.011963719965820558
56,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0138025987365324,5.154910014060809,4.887249049429898,0.5173917539375082,0.00017241924678634488,0.02091013026271929,0.011963719965820558
57,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0138025987365324,5.154910014060809,4.887249049429898,0.5173453453363663,0.00017241924678634488,0.02091013026271929,0.011963719965820558
58,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.0138025987365324,5.154910014060809,4.887249049429898,0.5172988282668878,0.00017241924678634488,0.02091013026271929,0.011963719965820558
59,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013933847499232,5.154910014060809,4.887249049429898,0.517262804189169,0.00017222412007826933,0.02091013026271929,0.011963719965820558
60,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013933847499232,5.154910014060809,4.887249049429898,0.5172159197943798,0.00017222412007826933,0.02091013026271929,0.011963719965820558
61,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013933847499232,5.154910014060809,4.887249049429898,0.5171692288471956,0.00017222412007826933,0.02091013026271929,0.011963719965820558
62,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013933847499232,5.154910014060809,4.887249049429898,0.5171227765095145,0.00017222412007826933,0.02091013026271929,0.011963719965820558
63,run_1745358560,2025-04-22 17:49:20,large-network-3,"200","3","5","1","small_world","75","large-network-3","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.013933847499232,5.154910014060809,4.887249049429898,0.5170766007191101,0.00017222412007826933,0.02091013026271929,0.011963719965820558
